Name_prod;Cost;skld13;skld89;skld99
"Apple iPad new 64GB Wi-Fi MD330RS/A";"0";"0";"0";"0"
"Samsung Galaxy Note 10.1 3G 64Gb GT-N8000GRFSER";"0";"0";"0";"0"
"Samsung Galaxy Tab 2 7.0 P3100 8Gb 3G GT-P3100GRASER";"0";"0";"0";"0"
"Asus ZENBOOK U500VZ CN050P 90NWOG212W11C36R53AY";"0";"0";"0";"0"
"Lenovo IdeaPad U310 59343337 ";"0";"0";"0";"0"
"Samsung 530U3C-A0D 530U3C-A0DRU";"0";"0";"0";"0"
"Samsung 530U4C-S0A NP530U4C-S0ARU";"0";"0";"0";"0"
"Samsung 535U4C-S03 NP-535U4C-S03";"0";"0";"0";"0"
"Samsung 535U4C-S05 NP535U4C-S05";"0";"0";"0";"0"
"Samsung 900X3C-A03 NP900X3C-A03RU";"0";"0";"0";"0"
"Samsung 900X4C-A02 NP900X4C-A02RU";"0";"0";"0";"0"
"Asus Eee PC 1025C BRN008S 90OA3FBE6212987E33EU";"0";"0";"0";"0"
"Asus Eee PC 1025C WHI002B 90OA3FBI6212997E33EU";"0";"0";"0";"0"
"Asus Eee PC 1225B SIV009S 90OA3LB48211987E23EQ";"0";"0";"0";"0"
"Asus VivoTab Smart ME400C-1B020W 64Gb 90OK0XB2100340U";"0";"0";"0";"0"
"Asus K53TK SX085R 90NBNC418W2216RD13AC";"0";"0";"0";"0"
"Asus U24E PX072V 90N8PA254W3D54VD53AY";"0";"0";"0";"0"
"Samsung 350E7C-S0B";"0";"0";"0";"0"
"Toshiba Satellite C850-D6W PSCBWR-04Q003RU";"0";"0";"0";"0"
"Asus Transformer Pad TF300TG 16Gb 90OK0JB2104960W";"0";"0";"0";"0"
"Bliss Pad R9010 8Gb M99TG-9.0";"0";"0";"0";"0"
"Digma iDx 9 8Gb RK2918";"0";"0";"0";"0"
"Hyundai HT-7G 8Gb";"0";"0";"0";"0"
"Samsung Galaxy Note 10.1 3G 64Gb GT-N8000ZWFSER";"0";"0";"0";"0"
"Samsung Galaxy Tab 2 7.0 P3110 8Gb GT-P3110TSASER";"0";"0";"0";"0"
"Asus UX52VS CN037H";"0";"0";"0";"0"
"Asus Zenbook Prime UX31A R4003H 90NIOA312W11225813AC";"0";"0";"0";"0"
"Apple iMac MD09516GRS/A";"0";"0";"0";"0"
"ECS G11-21ENS6BE-2";"0";"0";"0";"0"
"Lenovo IdeaCentre C200 57306762";"0";"0";"0";"0"
"Samsung 700A3D-A01 DP700A3D-A01";"0";"0";"0";"0"
"Sony Vaio VPC-L22S1R VPC-L22S1R/B";"0";"0";"0";"0"
"Asus Eee PC 1011CX BLK057S 90OA3SB22112987E23EQ";"0";"0";"0";"0"
"Asus Eee PC 1015CX Red025S 90OA3RD32111987E23EQ";"0";"0";"0";"0"
"Asus Eee PC 1025C RED001B 90OA3FBU6212997E33EU";"0";"0";"0";"0"
"Acer Aspire E1-571G-33124G50Mnks NX.M57ER.006";"0";"0";"0";"0"
"Acer Aspire V3-571G-53234G50Makk NX.M69ER.003";"0";"0";"0";"0"
"Acer Aspire V5-571G-33214G50Mabb NX.M4VER.002";"0";"0";"0";"0"
"Acer TRAVELMATE 8573T-2313G32Mnkk LX.V4E03.079";"0";"0";"0";"0"
"Apple MacBook Pro 13 with Retina display Late 2012 Z0N3000D0";"0";"0";"0";"0"
"Apple MacBook Pro 13 with Retina display Late 2012 Z0N3000D1";"0";"0";"0";"0"
"Apple MacBook Pro 13 with Retina display Late 2012 Z0N4000KS";"0";"0";"0";"0"
"Apple MacBook Pro 15 with Retina display Z0MK001Z8";"0";"0";"0";"0"
"Apple MacBook Pro MD101RS/A";"0";"0";"0";"0"
"Asus K53SD SX386R 90N3ELD84W1I12RD13AY";"0";"0";"0";"0"
"Asus K53TK SX024D 90NBNC418W23266013AC";"0";"0";"0";"0"
